Site,Parameter,SampleDate,Value
Big Glen Lake,Total Phosphorus,1991-02-19,7.0
Big Glen Lake,Total Phosphorus,1991-03-11,6.0
Big Glen Lake,Total Phosphorus,1991-04-23,7.0
Big Glen Lake,Total Phosphorus,1991-05-13,8.0
Big Glen Lake,Total Phosphorus,1991-05-28,8.0
Big Glen Lake,Total Phosphorus,1991-06-11,18.0
Big Glen Lake,Total Phosphorus,1991-06-24,5.0
Big Glen Lake,Total Phosphorus,1991-07-16,5.0
Big Glen Lake,Total Phosphorus,1992-02-29,5.2
Big Glen Lake,Total Phosphorus,1992-05-06,3.6
Big Glen Lake,Total Phosphorus,1992-06-24,6.3
Big Glen Lake,Total Phosphorus,1992-07-24,3.4
Big Glen Lake,Total Phosphorus,1992-08-06,3.0
Big Glen Lake,Total Phosphorus,1992-08-27,3.4
Big Glen Lake,Total Phosphorus,1992-09-23,2.8
Big Glen Lake,Total Phosphorus,1992-10-21,6.3
Big Glen Lake,Total Phosphorus,1993-01-27,11.6
Big Glen Lake,Total Phosphorus,1993-03-25,3.7
Big Glen Lake,Total Phosphorus,1993-04-27,4.2
Big Glen Lake,Total Phosphorus,1993-06-10,3.3
Big Glen Lake,Total Phosphorus,1993-07-21,3.1
Big Glen Lake,Total Phosphorus,1993-09-16,4.1
Big Glen Lake,Total Phosphorus,1993-11-09,4.9
Big Glen Lake,Total Phosphorus,1994-03-02,3.2
Big Glen Lake,Total Phosphorus,1994-04-30,5.0
Big Glen Lake,Total Phosphorus,1994-06-21,2.9
Big Glen Lake,Total Phosphorus,1994-07-21,2.0
Big Glen Lake,Total Phosphorus,1994-08-17,4.3
Big Glen Lake,Total Phosphorus,1994-09-30,4.2
Big Glen Lake,Total Phosphorus,1994-11-07,5.8
Big Glen Lake,Total Phosphorus,1995-04-20,5.2
Big Glen Lake,Total Phosphorus,1995-06-19,6.6
Big Glen Lake,Total Phosphorus,1995-07-11,1.9
Big Glen Lake,Total Phosphorus,1995-10-03,4.0
Big Glen Lake,Total Phosphorus,1996-03-19,4.2
Big Glen Lake,Total Phosphorus,1996-05-25,5.0
Big Glen Lake,Total Phosphorus,1996-07-17,4.8
Big Glen Lake,Total Phosphorus,1996-08-17,4.1
Big Glen Lake,Total Phosphorus,1996-09-19,1.5
Big Glen Lake,Total Phosphorus,1996-11-21,3.0
Big Glen Lake,Total Phosphorus,1997-04-24,3.8
Big Glen Lake,Total Phosphorus,1997-06-29,3.1
Big Glen Lake,Total Phosphorus,1997-07-23,2.0
Big Glen Lake,Total Phosphorus,1997-08-13,3.4
Big Glen Lake,Total Phosphorus,1997-09-08,2.7
Big Glen Lake,Total Phosphorus,1998-08-12,1.5
